lat,lng,desc,zip,title,timeStamp,twp,addr,e
40.2978759,-75.5812935,REINDEER CT & DEAD END;  NEW HANOVER; Station 332; 2015-12-10 @ 17:10:52;,19525,EMS: BACK PAINS/INJURY,2015/12/10 17:10,NEW HANOVER,REINDEER CT & DEAD END,1
40.2580614,-75.2646799,BRIAR PATH & WHITEMARSH LN;  HATFIELD TOWNSHIP; Station 345; 2015-12-10 @ 17:29:21;,19446,EMS: DIABETIC EMERGENCY,2015/12/10 17:29,HATFIELD TOWNSHIP,BRIAR PATH & WHITEMARSH LN,1
40.1211818,-75.3519752,HAWS AVE; NORRISTOWN; 2015-12-10 @ 14:39:21-Station:STA27;,19401,Fire: GAS-ODOR/LEAK,2015/12/10 14:39,NORRISTOWN,HAWS AVE,1
40.116153,-75.343513,AIRY ST & SWEDE ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 16:47:36;,19401,EMS: CARDIAC EMERGENCY,2015/12/10 16:47,NORRISTOWN,AIRY ST & SWEDE ST,1
40.251492,-75.6033497,CHERRYWOOD CT & DEAD END;  LOWER POTTSGROVE; Station 329; 2015-12-10 @ 16:56:52;,,EMS: DIZZINESS,2015/12/10 16:56,LOWER POTTSGROVE,CHERRYWOOD CT & DEAD END,1
40.2534732,-75.283245,CANNON AVE & W 9TH ST;  LANSDALE; Station 345; 2015-12-10 @ 15:39:04;,19446,EMS: HEAD INJURY,2015/12/10 15:39,LANSDALE,CANNON AVE & W 9TH ST,1
40.1821111,-75.1277951,LAUREL AVE & OAKDALE AVE;  HORSHAM; Station 352; 2015-12-10 @ 16:46:48;,19044,EMS: NAUSEA/VOMITING,2015/12/10 16:46,HORSHAM,LAUREL AVE & OAKDALE AVE,1
40.2172859,-75.405182,COLLEGEVILLE RD & LYWISKI RD;  SKIPPACK; Station 336; 2015-12-10 @ 16:17:05;,19426,EMS: RESPIRATORY EMERGENCY,2015/12/10 16:17,SKIPPACK,COLLEGEVILLE RD & LYWISKI RD,1
40.2890267,-75.3995896,MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2015-12-10 @ 16:51:42;,19438,EMS: SYNCOPAL EPISODE,2015/12/10 16:51,LOWER SALFORD,MAIN ST & OLD SUMNEYTOWN PIKE,1
40.1023985,-75.2914577,BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD; PLYMOUTH; 2015-12-10 @ 17:35:41;,19462,Traffic: VEHICLE ACCIDENT -,2015/12/10 17:35,PLYMOUTH,BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD,1
