Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,47370-257954,"Meritxell, 96",Licensed,"Av. Meritxell, 96",Andorra la Vella,7,AD,AD500,376818720,GMT+1:00 Europe/Andorra,1.53,42.51
Starbucks,22331-212325,Ajman Drive Thru,Licensed,"1 Street 69, Al Jarf",Ajman,AJ,AE,,,GMT+04:00 Asia/Dubai,55.47,25.42
Starbucks,47089-256771,Dana Mall,Licensed,Sheikh Khalifa Bin Zayed St.,Ajman,AJ,AE,,,GMT+04:00 Asia/Dubai,55.47,25.39
Starbucks,22126-218024,Twofour 54,Licensed,Al Salam Street,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.38,24.48
Starbucks,17127-178586,Al Ain Tower,Licensed,"Khaldiya Area, Abu Dhabi Island",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.54,24.51
Starbucks,17688-182164,"Dalma Mall, Ground Floor",Licensed,"Dalma Mall, Mussafah",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.49,24.4
Starbucks,18182-182165,"Dalma Mall, Level 1",Licensed,"Dalma Mall, Mussafah",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.49,24.4
Starbucks,23359-229184,Debenhams Yas Mall,Licensed,Yas Island,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.61,24.46
Starbucks,30781-99022,Khalidiya Street,Licensed,Khalidiya St.,Abu Dhabi,AZ,AE,,26670052,GMT+04:00 Asia/Muscat,55.69,24.19
Starbucks,20423-205465,Eastern Mangroves,Licensed,"Al Salam Street, The Mangroves",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.38,24.48
Starbucks,20424-205466,Nation Towers,Licensed,Corniche Street,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.34,24.47
Starbucks,1579-122101,HCT Abu Dhabi Women's College Block,Licensed,"Najda Street, Higher Colleges of Technology",Abu Dhabi,AZ,AE,3167,26426280,GMT+04:00 Asia/Dubai,54.37,24.49
Starbucks,32595-122105,Standard Chartered Building,Licensed,"Khalidiya St., Beside Union Cooperative Society",Abu Dhabi,AZ,AE,3167,26359275,GMT+04:00 Asia/Muscat,55.69,24.19
Starbucks,24191-236428,International Tower,Licensed,"Capital Center, Adnec, Abu Dhabi",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.7,24.3
Starbucks,24604-238367,Yas Mall 3,Licensed,YAS Island,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.6,24.48
Starbucks,32029-110804,Blue Tower A,Licensed,"Street No.4, Muroor Road, Ground Floor",Abu Dhabi,AZ,AE,,26429255,GMT+04:00 Asia/Muscat,55.74,24.21
Starbucks,29560-238539,Corniche Park DT,Licensed,"Corniche  Road , Abu Dhabi",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.34,24.47
Starbucks,32239-100001,Khalidiya Mall,Licensed,"Street No.26 of Khalidiya Area, Ground Floor, Shop No. A11",Abu Dhabi,AZ,AE,,26354740,GMT+04:00 Asia/Dubai,54.35,24.47
Starbucks,31719-103601,Al Wahda Mall,Licensed,"11th Street, Ground Floor, Main Entrance",Abu Dhabi,AZ,AE,,24437197,GMT+04:00 Asia/Dubai,54.37,24.47
Starbucks,20008-200004,Al Seef Village,Licensed,"Salam Street, Ministries District",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.38,24.48
Starbucks,32767-131566,Shangri-La Souq,Licensed,"Shangri-La Souk, Um Al Nar",Abu Dhabi,AZ,AE,3167,25581641,GMT+04:00 Asia/Dubai,54.51,24.42
Starbucks,3886-141408,"Abu Dhabi University, Men's",Licensed,"Muroor Street, Abu Dhabi Mall",Abu Dhabi,AZ,AE,,24433824,GMT+04:00 Asia/Dubai,54.35,24.46
Starbucks,29539-254261,MUshrif Mall 1,Licensed,"25th st, Airport Road",Abu Dhabi,AZ,AE,971,,GMT+04:00 Asia/Dubai,54.66,24.41
Starbucks,28809-251348,Boutik Mall Sun & Sky,Licensed,"Shams Abu Dhabi, Al Reem Island",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.41,24.5
Starbucks,34262-62540,Marina Mall,Licensed,Marina Mall,Abu Dhabi,AZ,AE,,02-6815883,GMT+04:00 Asia/Dubai,54.32,24.47
Starbucks,3178-141407,"Abu Dhabi University, Women's",Licensed,"Road Al Ain Abu Dhabi Road Number 22, Women Side",Abu Dhabi,AZ,AE,,25860492,GMT+04:00 Asia/Dubai,54.57,24.35
Starbucks,34260-17877,Hamdan Street,Licensed,Hamdan Street,Abu Dhabi,AZ,AE,,02-6261001,GMT+04:00 Asia/Muscat,55.62,24.21
Starbucks,21605-213406,Saadiyat Island,Licensed,Saadiyat Island,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.44,24.54
Starbucks,1935-141406,Camellia Flowers,Licensed,"Khalidiya Area Khalidiya street, Behind Union Bank and Finance House",Abu Dhabi,AZ,AE,,02-6355542,GMT+04:00 Asia/Dubai,54.34,24.47
Starbucks,20113-195784,Deerfields,Licensed,"Sheikh Zayed Road, Al Bahia Area",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.94,24.9
Starbucks,34227-33225,Abu Dhabi Mall,Licensed,"Al Salam Street, Tourist Club Area",Abu Dhabi,AZ,AE,,02-6454914,GMT+04:00 Asia/Dubai,54.37,24.5
Starbucks,17361-180588,Zayed University,Licensed,Corner of 16th Street and Aiport Road,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.6,24.4
Starbucks,15938-165686,Bawabat Al Sharq,Licensed,Corner Al Ain Rd & Baniyas Rd,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Muscat,55.77,24.48
Starbucks,16453-170544,Guardian Tower,Licensed,"31st Street, Danat Abu Dhabi",Abu Dhabi,AZ,AE,,02 6414214,GMT+04:00 Asia/Dubai,54.44,24.43
Starbucks,24085-235545,Ferrari World Welcome Pavilion,Licensed,Yas Island,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.61,24.46
Starbucks,24932-239347,Al Mamoura,Licensed,"Al Mamoura, Al Muroor District",Abu Dhabi,AZ,AE,51133,,GMT+04:00 Asia/Dubai,54.39,24.46
Starbucks,18469-188844,Ministry of Interior,Licensed,Khaleej Al Arabi Street,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.39,24.43
Starbucks,28810-251346,ADNOC Mushrif,Licensed,Airport Road,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.66,24.41
Starbucks,1897-120044,Twin Towers 13th Street,Licensed,"3th street Abudhabi (Al Najda Street), Beside Al Masood Nissan Show Room",Abu Dhabi,AZ,AE,,26430239,GMT+04:00 Asia/Dubai,55.53,23.85
Starbucks,20772-207664,Al Falah Community,Licensed,Al Falah Village 2 Centre,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.37,24.47
Starbucks,2176-143834,Abu Dhabi Police HQ,Licensed,13th Street,Abu Dhabi,AZ,AE,,02 4093231,GMT+04:00 Asia/Dubai,54.37,24.52
Starbucks,18530-169885,Western Region,Licensed,"Liwa Road, Madinat Zayed",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.37,24.48
Starbucks,24931-239348,Raha Garden,Licensed,Raha Gardens Plaza,Abu Dhabi,AZ,AE,51133,,GMT+04:00 Asia/Dubai,54.37,24.47
Starbucks,29306-253248,Al Ain Ladies Club,Licensed,"Al Markhaniya , Al Ain, Al Markhaniya, Al Ain",Al Ain,AZ,AE,,,GMT+04:00 Asia/Muscat,55.4,24.12
Starbucks,17291-169884,Jahli Park,Licensed,"Sheikh Khalifa Bin Zayed Road, Jahli",Al Ain,AZ,AE,,,GMT+04:00 Asia/Dubai,55.29,25.24
Starbucks,32640-131563,Tawam Hospital,Licensed,"Al Ain Abu Dhabi Rd, Khalifa Bin Zayed, Al Makam Area",Al Ain,AZ,AE,3167,37677581,GMT+04:00 Asia/Muscat,55.65,24.19
Starbucks,34332-97778,Jimmy Mall,Licensed,"Baladia Road, Opposite Passport Office",Al Ain,AZ,AE,,37627680,GMT+04:00 Asia/Muscat,55.73,24.24
Starbucks,16257-166109,Al Ain Mall,Licensed,City Road,Al Ain,AZ,AE,,03 7849281,GMT+04:00 Asia/Dubai,55.39,25.1
Starbucks,1926-141411,Bawadi Mall,Licensed,Maziad Road After Hilton Roundabout,Al Ain,AZ,AE,,37840012,GMT+04:00 Asia/Muscat,55.81,24.16
Starbucks,24510-238164,Wahat Hili Mall,Licensed,"Unit RA 029, Wahat Hili Mall, Baniyas Street, Hili District",Al Ain,AZ,AE,,,GMT+04:00 Asia/Muscat,55.69,24.21
Starbucks,17788-183965,Oasis Hospital,Licensed,"Al Ain Street, Al Jahli",Al Ain,AZ,AE,,,GMT+04:00 Asia/Muscat,55.8,24.13
Starbucks,22963-226644,YAS Mall,Licensed,"Yas Island, Abu Dhabi",Abu Dhabi,DU,AE,,,GMT+04:00 Asia/Dubai,54.47,24.41
Starbucks,23197-228761,Al Ruwais Mall,Licensed,Al Ruwais,Abu Dhabi,DU,AE,,,GMT+04:00 Asia/Dubai,54.63,24.29
Starbucks,23549-231166,Shamkha Mall,Licensed,Al Shamkha,Abu Dhabi,DU,AE,,,GMT+04:00 Asia/Dubai,54.69,24.39
Starbucks,15060-156348,Al Barsha Commercial,Licensed,"Near Mall of Emirates, Ground Floor",Al Barsha,DU,AE,,44549383,GMT+04:00 Asia/Dubai,55.23,25.05
Starbucks,34291-80114,Umm Sequeim,Licensed,"Jumeirah, Near Spinney's",Dubai,DU,AE,,43952230,GMT+04:00 Asia/Dubai,55.23,25.17
Starbucks,27072-246650,Reel Cinema,Licensed,"Reel Cinema, Dubai Mall, Second Floor",Dubai,DU,AE,113444,,GMT+04:00 Asia/Muscat,55.6,24.78
Starbucks,18751-188904,Dubai Airport Concourse 3,Licensed,"Dubai Airport Rd, Terminal 3",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.35,25.25
Starbucks,18857-187024,City Walk - Dubai,Licensed,"Safa Street, Jumeirah 1, Jumeirah District",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.31,25.27
Starbucks,28908-251804,DIFC 2,Licensed,DIFC Building No. 5,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.16,25.1
Starbucks,32250-107405,The Residence Tower 1,Licensed,Down Town Burj,Dubai,DU,AE,,44200636,GMT+04:00 Asia/Dubai,55.27,25.19
Starbucks,34211-17922,Emirates Tower,Licensed,Sheikh Zayed Road,Dubai,DU,AE,,04-3303363,GMT+04:00 Asia/Dubai,55.28,25.21
Starbucks,34315-87671,Dubai Marina,Licensed,Sheik Zayed,Dubai,DU,AE,,04-3675468,GMT+04:00 Asia/Dubai,55.15,25.08
Starbucks,23213-228760,Dubai Airport - Concourse D West,Licensed,Dubai Airport,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.35,25.25
Starbucks,30780-154130,Mall of the Emirates - Ski #2,Licensed,"Near MOE Ski Area, Shop No K01A, West End Food Court",Dubai,DU,AE,,43410034,GMT+04:00 Asia/Dubai,55.2,25.12
Starbucks,25406-240945,Bin Sougat,Licensed,"Al Khawaneej Road, Al Rashidiya",Dubai,DU,AE,10170,,GMT+04:00 Asia/Dubai,55.4,25.23
Starbucks,32329-111864,Old Town Amenity Building,Licensed,Burj Dubai,Dubai,DU,AE,,44309436,GMT+04:00 Asia/Dubai,55.28,25.19
Starbucks,32741-141410,Atlantis,Licensed,"Dubai Palm Island, Located in Dolphin Bay",Dubai,DU,AE,,44261435,GMT+04:00 Asia/Dubai,55.12,25.13
Starbucks,17787-183964,Jumeirah Beach Road,Licensed,"Jumeirah Beach Road, Villa 23",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.14,25.08
Starbucks,3183-143827,Oasis Centre,Licensed,"Shaikh Zayed Road, Ground Floor",Dubai,DU,AE,,43307155,GMT+04:00 Asia/Dubai,55.24,25.17
Starbucks,32571-107873,Jumeirah Beach Residence 3 P24a,Licensed,"Jumeirah Beach Residence, Opposite right side Dubai Hilton Hotel",Dubai,DU,AE,,44355728,GMT+04:00 Asia/Dubai,55.13,25.07
Starbucks,23973-234507,Dubai Airport T1 Landside Departure,Licensed,"Airport Road, Dubai Airport, Terminal 1",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.31,25.27
Starbucks,32144-123448,Old Town Commercial Island,Licensed,"Burj Dubai Down Town, Level 3",Dubai,DU,AE,3167,44200343,GMT+04:00 Asia/Dubai,55.28,25.19
Starbucks,34219-17920,Al Gurrair Mall,Licensed,Deira- Riqqa Street,Dubai,DU,AE,,04-2212559,GMT+04:00 Asia/Dubai,55.32,25.27
Starbucks,32476-106835,Jumeirah Beach Residence 6 GM10,Licensed,"Jumeirah Beach Residence, Opposite Sheraton Hotel Dubai",Dubai,DU,AE,,44233862,GMT+04:00 Asia/Dubai,55.13,25.07
Starbucks,7073-204444,Atlantis The Avenues,Licensed,"Palm Jumeirah, Main Entrance of Atlantis Avenue",Dubai,DU,AE,,44573106,GMT+04:00 Asia/Dubai,55.12,25.13
Starbucks,18026-187444,Jumeirah Villa,Licensed,"Al Mehemal Street, Jumeirah 2",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.23,25.19
Starbucks,34284-65720,Mercato Town Centre,Licensed,Jumeira Road,Dubai,DU,AE,,04-3449611,GMT+04:00 Asia/Dubai,55.25,25.22
Starbucks,32117-116426,Emaar Business Park,Licensed,"Dubai Marina after Mall of Emirates, 3rd Bldg,  Gr Floor, Near Main Entrance",Dubai,DU,AE,,44224888,GMT+04:00 Asia/Dubai,55.17,25.1
Starbucks,20347-204885,DBX - Term 2 Landside,Licensed,Terminal 1 Departure Gate 1,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.31,25.27
Starbucks,49595-270099,DED,Licensed,"Dubai economic department, near to clock tower round about, Deira",Dubai,DU,AE,0,,GMT+04:00 Asia/Dubai,55.33,25.26
Starbucks,32292-111724,Burj Dubai Business Park,Licensed,"Building 4, Ground Floor",Dubai,DU,AE,,44257991,GMT+04:00 Asia/Dubai,55.27,25.2
Starbucks,4141-147544,Motor City,Licensed,"near Fox Hill 2, next to Spinney?s Supermarket",Dubai,DU,AE,,44475527,GMT+04:00 Asia/Dubai,55.24,25.05
Starbucks,21600-213424,ENOC 1001,Licensed,"Al Quds St, Al Tawar",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.35,25.27
Starbucks,47514-254743,Riverland,Licensed,Sheik Zayed Rd,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.19,25.11
Starbucks,26471-239345,Me'Aissem City Center,Licensed,MBU to provide,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.19,25.03
Starbucks,25879-242844,Etihad Mall,Licensed,"Etihad Mall, Al Khawaneej Road, Mirdif",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.42,25.23
Starbucks,6137-116711,Park Place Showmax,Licensed,"Jumeirah Beach Road, in front of Jumeirah Beach Park",Dubai,DU,AE,,43428399,GMT+04:00 Asia/Dubai,55.24,25.2
Starbucks,3173-122109,Arabian Centre,Licensed,"Plot 262-3104, Al Mizar First",Dubai,DU,AE,3167,04 2845433,GMT+04:00 Asia/Dubai,55.46,25.26
Starbucks,23212-228759,Dubai Airport - Concourse D East,Licensed,Dubai Airport,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.35,25.25
Starbucks,34335-97976,Gardens 3,Licensed,"Jebel Ali Gardens, Gardens III Tunisia Court",Dubai,DU,AE,,43685991,GMT+04:00 Asia/Dubai,55.12,25.04
Starbucks,1801-136467,Dubai Mall LG 118,Licensed,"Burj Dubai Boulevard, Sheikh Zayed Rd, Shop LG 118",Dubai,DU,AE,3167,43398434,GMT+04:00 Asia/Dubai,55.28,25.2
Starbucks,31199-104340,Deira City Center 4,Licensed,Deira,Dubai,DU,AE,,04-2948442,GMT+04:00 Asia/Dubai,55.33,25.25
Starbucks,31853-109684,Sahara Tower,Licensed,"Ground Floor, Sheikh Zayed Road",Dubai,DU,AE,,04 3316164,GMT+04:00 Asia/Dubai,55,24.92
Starbucks,28811-251347,Shindagha Centre,Licensed,Al Mina Road- Bur Duabi,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.28,25.24
Starbucks,6106-148051,Dubai Academic City,Licensed,"Academic City Rd, main food court area",Dubai,DU,AE,,44503886,GMT+04:00 Asia/Dubai,55.42,25.13
Starbucks,34317-95971,Madina Jumeirah,Licensed,Jumeirah,Dubai,DU,AE,,43686188,GMT+04:00 Asia/Dubai,55.19,25.13
Starbucks,32269-114734,21st Century Tower,Licensed,"Sheikh Zayed Road, Ground Floor",Dubai,DU,AE,,04-3250028,GMT+04:00 Asia/Dubai,55.28,25.21
Starbucks,34337-97975,Gardens 2,Licensed,"Jebel Ali Gardens, Gardens II China Court",Dubai,DU,AE,,43685986,GMT+04:00 Asia/Dubai,55.12,25.05
Starbucks,4143-147546,Mirdif City Center - Central Atrium,Licensed,Cnr of Tripoli St & Emirates Rd. Mirdif,Dubai,DU,AE,,42316740,GMT+04:00 Asia/Dubai,55.41,25.22
Starbucks,30954-99024,Health Care City Dubai,Licensed,"Dubai Health Care City D Block, Ground Floor",Dubai,DU,AE,,43624858,GMT+04:00 Asia/Dubai,55.33,25.23
Starbucks,1609-136468,Dubai Mall G 223,Licensed,"Burj Dubai Boulevard, The Grove, Ice Rink Area, Ground Floor",Dubai,DU,AE,3167,43398637,GMT+04:00 Asia/Dubai,55.28,25.2
Starbucks,34249-62099,Wafi Mall,Licensed,"Oud Mina, Shop # 212, Wafi Mall",Dubai,DU,AE,,04-3243641,GMT+04:00 Asia/Dubai,55.28,25.25
Starbucks,23863-233552,Dubai Mall 4,Licensed,Dubai Mall,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.44,25.04
Starbucks,31338-103600,Uptown Mirdif,Licensed,Mirdif,Dubai,DU,AE,,42888102,GMT+04:00 Asia/Dubai,55.43,25.23
Starbucks,34209-17918,Deira City Center Mall,Licensed,Deira,Dubai,DU,AE,,42958543,GMT+04:00 Asia/Dubai,55.33,25.25
Starbucks,34210-16835,Palm Strip,Licensed,Jumeira 1,Dubai,DU,AE,,04-3453808,GMT+04:00 Asia/Dubai,55.26,25.23
Starbucks,28258-250593,Starbuck Box Park,Licensed,"Unit M3-02 Al Wasl Road, Dubai, UAE, Al Wasl Road, Dubai, UAE",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.27,25.23
Starbucks,32523-106836,JBR 1 Rimal Plaza,Licensed,"Jumeirah Beach Residence, Opposite of Dubai Hilton Hotel",Dubai,DU,AE,,44355751,GMT+04:00 Asia/Dubai,55.13,25.07
Starbucks,24927-239346,Dubai Festival City,Licensed,Dubai Festival City,Dubai,DU,AE,49776,,GMT+04:00 Asia/Dubai,55.31,25.27
Starbucks,32328-123449,Al Ghadeer Tower,Licensed,"Shaikh Zayed Road (In front of DIFC), Ground Floor",Dubai,DU,AE,58301,04-3295676,GMT+04:00 Asia/Dubai,55.28,25.22
Starbucks,34292-76574,Jebel Ali,Licensed,"Jebel Ali, Near Gate No. 4",Dubai,DU,AE,,04-8816680,GMT+04:00 Asia/Dubai,55.09,24.99
Starbucks,26743-245288,MoE Level 2 Extension,Licensed,"Mall of the Emirates, Dubai, UAE",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.2,25.12
Starbucks,26048-243344,Borders ? Mall of the Emirates,Licensed,"Mall of the Emirates, Dubai, UAE",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.2,25.12
Starbucks,32714-122107,Movenpick,Licensed,"Street 19, Oud  Metha Area, Ground Floor",Dubai,DU,AE,121223,43374720,GMT+04:00 Asia/Dubai,55.31,25.23
Starbucks,1968-136466,Dubai Marina Mall,Licensed,"Sheikh Zayed Road, Jumeirah Beach Residence Area",Dubai,DU,AE,3167,44342660,GMT+04:00 Asia/Dubai,55.14,25.08
Starbucks,27950-248318,Mudon,Licensed,close to Arabian Ranches 2,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.31,25.27
Starbucks,32425-106837,JBR 2 Rimal Marina,Licensed,"Jumeirah Beach Residence, front right corner of the Marina Tower",Dubai,DU,AE,,44233751,GMT+04:00 Asia/Dubai,55.14,25.08
Starbucks,32457-106838,Jumeirah Beach Residence 4 GM09,Licensed,"Jumeirah Beach Residence, Beside Marlin Furniture & opposite Ritz",Dubai,DU,AE,,44233770,GMT+04:00 Asia/Dubai,55.14,25.08
Starbucks,48097-261445,Starbucks - Boulevard Plaza,Licensed,"Boulevard Plaza, Dubai, UAE",Dubai,DU,AE,0,,GMT+04:00 Asia/Dubai,55.16,25.11
Starbucks,1577-123446,DBX - Dubai Airport Terminal 3 C201,Licensed,"Terminal 3,  Near Departure Gate 205, West Wing Food Court Area",Dubai,DU,AE,2525,42203661,GMT+04:00 Asia/Dubai,55.35,25.25
Starbucks,3169-123447,DBX - Dubai Airport Terminal 3 C207,Licensed,"Terminal 3 Departures, east wing duty free area",Dubai,DU,AE,2525,42203990,GMT+04:00 Asia/Dubai,55.35,25.25
Starbucks,34336-97974,Gardens 1,Licensed,"Jebel Ali Gardens, Gardens I Persia Court",Dubai,DU,AE,,43685403,GMT+04:00 Asia/Dubai,55.12,25.04
Starbucks,48522-263630,Outlet Village,Licensed,Al Ain Road - Route 66,Dubai,DU,AE,0,,GMT+04:00 Asia/Dubai,55,24.54
Starbucks,24139-236004,ENOC 1009 DT,Licensed,"Jumeirah Beach Road, Diyafa Road",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.27,25.2
Starbucks,34320-74020,Burjuman Centre II,Licensed,Banks Street,Dubai,DU,AE,,43516656,GMT+04:00 Asia/Dubai,55.3,25.25
Starbucks,15976-165685,Al Barsha Coop,Licensed,"Al Barsha 3, Street 2321",Dubai,DU,AE,,02 5758780,GMT+04:00 Asia/Dubai,55.21,25.1
Starbucks,16528-168726,Spinney's Silicon Oasis,Licensed,"Emirates Road, Silicon Oasis",Dubai,DU,AE,,04-3206419,GMT+04:00 Asia/Dubai,55.4,25.13
Starbucks,22125-218025,Carrefour Green Community,Licensed,"Dubai Investment Park, Green Community",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.38,25.11
Starbucks,18837-193244,World Trade Centre,Licensed,"2nd street, Central Market District",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.33,25.29
Starbucks,31002-101076,Emaar Town Center,Licensed,"Springs 1, Beside Spinneys Supermarket",Dubai,DU,AE,,43617373,GMT+04:00 Asia/Dubai,55.17,25.05
Starbucks,34346-97779,Knowledge Village,Licensed,"Block 18, Jumeirah Road, Beside Shape Wellness Spa",Dubai,DU,AE,,04-3616288,GMT+04:00 Asia/Dubai,55.16,25.1
Starbucks,48396-262946,Bay Avenue - Business Bay,Licensed,"Bay Avenue, Business Bay",Dubai,DU,AE,0,,GMT+04:00 Asia/Dubai,55.16,25.11
Starbucks,17045-172945,Fujairah City Centre,Licensed,MBU to provide address,Fujairah,FU,AE,,,GMT+04:00 Asia/Muscat,56.3,25.13
Starbucks,28071-249840,LuLu Fujairah,Licensed,"Lulu Mall,Korthabah Street Town Centre 1, Opposite Fujairah Chamber of Commerce",Fujairah,FU,AE,2939,,GMT+04:00 Asia/Muscat,56.33,25.12
Starbucks,1911-138604,Al Hamra Mall,Licensed,Umm-Al Qawain Ajman & Sharjah hwy,Ras Al Khaimah,RK,AE,,07-2434772,GMT+04:00 Asia/Dubai,55.78,25.68
Starbucks,34228-219605,Al Manar Mall -,Licensed,Ras Al  Khaima.,Ras Al Khaimah,RK,AE,,07-2272121,GMT+04:00 Asia/Dubai,55.97,25.79
Starbucks,3172-113584,Safeer Mall,Licensed,Umm-Al Qawain Ajman and Sharjah hwy,Ras Al Khaimah,RK,AE,,07-2355921,GMT+04:00 Asia/Dubai,55.92,25.75
Starbucks,17964-183966,Sharjah Corniche,Licensed,Villa No.3 Corniche Road,Sharjah,SH,AE,,,GMT+04:00 Asia/Dubai,55.39,25.35
Starbucks,34252-54259,Mega Mall,Licensed,"Near Spinneys Round Bord, 1st floor",Sharjah,SH,AE,,06-5744316,GMT+04:00 Asia/Dubai,55.4,25.35
Starbucks,34253-62541,Bukhatir Tower,Licensed,Sharjah Buheira Corniche,Sharjah,SH,AE,,06-5560572,GMT+04:00 Asia/Dubai,55.38,25.33
Starbucks,1359-138434,Qanat Al Qasba,Licensed,Al Taawun Road,Sharjah,SH,AE,,06-5560318,GMT+04:00 Asia/Dubai,55.38,25.32
Starbucks,34259-54260,Sahara Center,Licensed,Alnahda,Sharjah,SH,AE,,06-5315823,GMT+04:00 Asia/Dubai,55.37,25.3
